,newDesk,commentBody
16,Express,Ironic is voters were worried about losing pecking status in the national world order. Trump has done nothing but undermine that. Also ironic is stating a belief in capitalism then be appall that white privilege is eroded by it. 
17,Express,"shocking<br/>just shocking<br/>i would never have thought of this.<br/>seriously, you'd have to be under a rock and unconscious not to know this<br/>bernie should take note - it's not about their shrinking paychecks<br/>their slogan is more or less make america white again<br/>or make sure my white skin, male gender, and heterosexuality still means privilege for me<br/>Dems should give up on these losers and move on -<br/>get out the vote and build common cause with the face of 21st century America<br/>white men haven't gone Dem in over 50 years - forget them - esp. these causalities of capitalist america "
18,Express,The US until very recently was an overwhelmingly white Christian/Judeo country. No longer. This phenomenon will test the viability of diversity like nothing else could. It may still be morning in America but itâs a different America. 
19,Express,"Call it what you will. The vote for Donald Trump was a vote for White supremacy.<br/>We have seen this view since the end of slavery. After reconstruction was defeated it roared to the  forefront. In the 20's after the 1st World War it generated the KKK with a membership of millions. After the 2nd World War Jim Crow emerged with a vengeance. Deep in the culture of America, White Christians both male and female working and weathy people have harbored an aborant belief and fear that their time is up. Well it may very well be. Good riddance."
20,Express,"It seemed that pretty quickly in, that a very large block of Trump voters were more generally middle class and not in imminent financial risk. (In contrast to those closer to the poverty line-- who as the article suggested-- likely leaned Democrat). <br/><br/>Trump continues to derail any more coherent and organized policy by bids to engage the id of his base. If these voters wish for sound economic policy that could be more directly of benefit to them-- they only have to change their minds and make that communication clear to Trump (through Fox and elsewhere). There is otherwise no 'intervention' those on the left and center can stage to prevent hitting social and economic rock-bottom. "
21,Express,The media is also to blame.  They are stoking the fears of this group.  
22,Express,Yep - well that photo says it all. 
23,Express,Call it what it is- racism.  
24,Express,"Which explains the continued support of Trump even as he does nothing to help them economically. All that matters to them is that he punishes brown people, insults women and reasserts the idea that gay people are a perversion. "
25,Express,Please document how the survey was biased and how the sample size was too small.
26,Express,"Merchant, you finally hit on the cultural difference that I think decided the election: abortion.  There's little chance that the source of Trump's small victory margin in MI, WI and PA wasn't his pledge to appoint a pro-life candidate to the Supreme Court."
27,Express,"Real status or *perceived* status? That's the problem. If Trump voters perceive that he's harming the status of the minorities, the educated elites, and immigrants, then they're fine with that. They'd prefer to be on the top deck of the Titanic, even if it's sinking. <br/><br/>They're not informed or educated enough to understand that this indirectly, but most definitely, undermines them and the economy at large. "
28,Express,Please cite a study that supports your rejection of the article's thesis. We'll wait
29,Express,Best comment on this thread. 100% on point. 
30,Express,"Heritage, the American Enterprise Institute, etc, have all been ""free traders"".  The Fair Trade cause has been led by Senators Sherrod Brown, Elizabeth Dole, Tammy Baldwin and Bernie Sanders. "
31,Express,"According to surveys, Hillary Clinton won the election.<br/><br/>A travel business uses purchased data from Facebook to track behavior.  They then target people who Facebook has suggested as Democrats and tell them that they are more likely to book foreign travel than Republicans.  This feeds into their false belief that they are  superior and encourages them to buy more expensive vacations.<br/><br/>You have been manipulated by an industry that appealed to your worldview that Democrats are the party of the special people.  Democrats are using the same technique to advance their narrative that Democrats are the party of the educated.  Historically, and the election of 2016 is no exception, the more education and the wealthier people are, the more likely they are to vote, and to vote Republican.   There are two exceptions.  PhDs tend to vote Democrat and the 1% tend to spend their money supporting Democrats.  PhDs are inordinately dependent upon government largess for their income and the 1% love the status quo they have purchased from elected and executive branch officials.<br/><br/>The majority of voters with a college degree voted for Trump.  The majority of voters who lack a high school diploma voted for Hillary.<br/><br/>The academics have not in hindsight been able to find any basis for Hillary's assertion that Trump voters are either economic losers or deplorable.  So they are fabricating another explanation to enable Hillary voters to maintain the illusion that they are special."
32,Express,"Wildly left!  Haha.  And there you have it folks.  Our very own Republican lite Hillary Clinton being referred to as Wildly Left.  <br/><br/>Do a little research.  Compared to most all other advanced nations, we are a right-wing corporate nationstate.  Our Democrats are the right wing.  Keep smoking and check your barometer.  "
33,Express,"Dr. Mutz' conclusions are not the ones that are unsupported. Indeed, they are quite thoroughly supported.<br/><br/>You can examine the support at pnas[dot]org.  Search for ""Mutz"" and read the entire study, complete with supporting data and tables."
34,Express,They still vote in greater numbers than other groups.
35,Express,"Evidently, we do.  I have had endless conversations with well-meaning people convinced that if only we went the Hillbilly Elegy route, and understood the ""plight"" of these ""forgotten people"", somehow, the next election will go better.  It will go better if and only if more of those well-meaning people come to vote, and drown out the deplorables."
36,Express,"To be fair, science is at its best when disproving false things.   In this case, the economic-uncertainty trope.  "
37,Express,"Those ""good manufacturing jobs"" are not coming back under Trump, if at all. If and when they do come back, robots will be doing most of the manufacturing work. That's a reality you should get familiar with."
38,Insider,"Love this story, too, and I've always said I would do the same if I ever had a baby out of state.  Texas pride runs deep for its native daughters and sons, even if we're not always sure why or don't agree with the state's trends, politics, or our neighbors.  "
39,Insider,"I absolutely love this story. I wasn't born in Texas, but I spent about a quarter-century there. My wife was born and raised there. Our son was born there. A connection to place is fundamental to who we are. A connection to Texas is braggin' rights. Just ask any Texan (or even some of us would-be's). "
40,Learning,"In all honesty, I do not believe the school I attend is a prime example of a place that encourages self-expression within a studentâs work. Occasionally there may be an instance where our own opinions come into play, but overall is typically disregarded as a way to maintain professionalism. Building the connection between school-life and outside experiences often does not feel like it was thoroughly made. Based on other sources I have also read, it seems that this is actually a common trend among numerous school, not just my own. As frequent as this practice is, it should be much more appreciated. Restraining oneâs voice and personal experiences as a sacrifice for formal sounding academic papers takes away a studentâs chance to liven their writing. While there are circumstances where it is in oneâs best interest to keep âIâ out of their work, this seemingly does not make up for all the other occasions that this personal voice is greatly beneficial in strengthening a piece. Instead of constantly encouraging writers to remain professional, schools should give students a chance to truly display that an actual person wrote their work. "
41,Learning,"One of Mr. Korbâs ideas really resonated with me because he mentioned how teachers teach students to exclude the word âIâ from all of their writing. This specific point really stuck with me because I have been told by many teachers to never use the word âIâ in any form of writing and having that connection with the author right in the beginning resonated with me throughout the essay. Personally, I believe school should be a point of self-expression for everyone because otherwise I think they would be miserable if they had to act a different way to withstand society. I agree that in school it is more difficult to completely self-express yourself because students are not as understanding and judge more often than adults do. I definitely believe that my personality is appreciated in school because we always have the opportunity to share our opinions on different topics through class discussion. The people I feel most comfortable with to express myself is with my friends and family because they know me for who I am and what Iâm like. Overall self expression can depend on the person, some people are timid and do not want to reveal that part of them while others enjoy letting other people know exactly who they are as a person. "
42,Learning,"This doesnât make any any room for self expression or personal work. In Honors classes for instance, analyzing an article is taught step by step specifically using certain words in specific orders and putting the information in a specific sequence. I guess I kinda get what heâs saying about students feeling that they will be valued in school so long as they learn the material given and can easily write about and complete tests on it. However, it seems to me that studentsâ personalities and interests are valued in school as well."
43,Learning,I really agree with this entire article. I don't see school as a place where i can express myself  at all on a personal level. I feel obligated to keep that out unless I'm with friends I wouldn't tell anyone but my best friends or Maybe a teacher that under stands me. My teachers always told me that school is a specific place where students go to school to learn and they go to get an education but sometimes that not true.
44,Learning,"After reading this article, one may say that the idea of school was reconsidered and well-thought of. School is where the majority of kids spend their days. To me, I feel like school is a place for self-expression. I say this because of the different races, culture, and language thats distributed throughout the school. The overall diversity that a school house contains is what makes it full of expression. After reading the article, I can say that I was somewhat able to question and articulate ''devotions, frustrations, little triumphs, and large peculiarities'' because they all deal with self-expression and how I carry myself. I could say that one-fourth of what I care about outside of school does involve inside of school because I tend to lean more on what I know from the outside to learn more about on the inside. All in all, expression and school was rebooted in my mind."
45,Magazine,"I moved my family from the countryside to the city so I could walk or bike to work. Instead of a minimum 20 minute drive that includes a mix of interstate and congested urban roads, It now takes an 8 minute bike ride (or 30 minute walk) on a route that includes an urban park to get to work. I generally only take the car to work when there is inclement weather or when I need the car later in the day to run an errand or go to an appointment later in the day. It was the best move I ever made. Instead of filling up the gas tank twice a week, I usually only need a refill every 10-14 days. Not only am I closer to work, but I'm closer to stores, resturants, and my children's schools and afterschool recreational facilites. I also got to know my neighbors better in a year than I did in the 11 pervious years I lived in the country. If you want to reduce your carbon footprint and save the planet don't buy a house out in the countryside and plant a garden. Move close to work and walk or bike.  Work to make cities more walkable, bikable, and livable rather than building wider roads."
46,Metro,"As 5 year old, I sat on my father's shoulders as we walked among the amazing<br/>World's Fair displays.  I was picked from the visitors to talk on a video phone display at the Bell Telephone exhibit with a visitor at Disney Land.  I remember watching the flickering black and white image on a 4 inch screen on the videophone and being dazzled.  I asked my parents if we could buy one for our home."
47,RealEstate,"The white on white just doesn't do it for me. Definitely a product of doing things in a rush - much easier with one choice. <br/><br/>I'm currently designing an Art Deco bath for my 1935 home, and discovering the way (after 6 tries) a way to arrange the blue tile accents on a white field to bring oddly spaced room together was nothing less than amazing.  If I'd done white on white, I could have not visually tied the offset entry area with the larger space. White on white fails to embrace a space and highlight what is interesting about it. ""Things"" pop, but the space does not. You don't need gobs of color, but enough to take charge and make the space work for you.<br/><br/>Lovely, but not my tastes. "
48,National,"The question is, why would one of the most important leaders in the world protect those who have abused the vulnerable to the point where many may never be able to live normal life, even if the Pope outs their abusers? And not merely protect them, but absolve them of their horrific acts? That puts a bizarre twist to Christ's ""suffer the little children to come unto me"", now, doesn't ?Turn to The Mother Church? The source of their humiliation and pain? Forgive and forget -- unless you are the abused who many never overcome their trauma?"
49,National,"I doubt if most people know you can still own a Thompson machine gun in the U.S. even though it was banned in 1934. But with ownership of such a weapon come some very strict rules. One must pass an intensive background check similar to an FBI background check. It must be registered with the proper authorities and secured to the satisfaction of law enforcement. The cost of such a weapon is also a deterrent. I recently saw one for sale at the price of $20,000.<br/>Since it is highly unlikely Congress will ban the current class of military grade weapons, states could still impose a ban or implement the same measures as applied to the Thompson. We would all be safer for it. "
50,National,Nice uplifting article and a welcomed counter to the endless NRA/weapons manufacturer propaganda which makes it seem like all gun owners are so vociferously against any regulation that each of us is condemned to an endless parade of despair and terror.   Maybe the Times will next do some articles on the countless number of gun shot victims who are condemned to lives of disability.  These forgotten victims are largely swept under the rug during this debate and they far outnumber those who have been murdered by a blood thirsty gun owner.  
51,BookReview,It is our manifest destiny to explore the heavens
52,Magazine,"""Mistrust""?  I know that he prefers conclusions that serve his purposes (i.e., Benghazi is a huge scandal, Donald Trump is the victim of a witch hunt) over anything for which there may be evidence.  A gloss like this suggests that Nunes may have a *reason*, perhaps at least partly valid, not to trust our intelligence apparatus.  He may have motives, but he has no reasons.  I think it would be better to say that Nunes *disregards*, rather than mistrusts, our intelligence agencies."
53,Magazine,"What a well-researched and written story. <br/><br/>However, I think the story can be summarized in one word. Love. <br/><br/>Devin Nunes fell in love with Donald Trump and for better or for worse will do anything for him.<br/><br/>But beware Mr. Nunes, just as he does his female flavors of the day, the President is famous for tossing his boys to the side once he decides they can no longer help him. Above all, watch your tender heart, Dev. "
54,Magazine,"The gist of this interminable article is that Nunes supports Trump, and therefore Nunes is an evil man. This is all that's required by the NYT Trump-haters, who wait expectantly each morning with their mouths open like baby Robins, waiting for their daily dose of anti-Trump news.<br/><br/>The rest of the article is just blah ... blah ... blah."
55,Magazine,Welcome to the world of alternative facts.<br/>Where buffalo chips are polished and sold to the rubes as gold.<br/>40% want more gold.
56,Magazine,"Hey, California, vote DN out."
57,Magazine,Please.<br/><br/>Mr. Nunes received only 1% of his campaign funds from small contributors and took none from his own bank accounts. He is entirely owned by PACs and wealthy conservatives.<br/><br/>He doesn't merit articles about his thinking process or opinions. Report on the contributors who OWN Mr. Nunes instead.
58,Magazine,"My problem is I have a memory.<br/><br/>I rememer Clapper, head of Intelligence, lying to the Senate Intelligence Committee that NSA wasn't collecting information on millions of innocent people.<br/><br/>I remember Snowden turning whistleblower in response--and proving what Clapper said were lies.<br/><br/>I remember the 60 Minutes interview of Wiliam Binney, who resigned from NSA after 30 years because the agency had intentionally decided not to use software costing millions that screened out innocent communications, and instead used a program costing billions that screened out no one.<br/><br/>And 12 armed FBI agents raiding Binney's home in response, taking his computer, papers, etc.<br/><br/>And I see Clapper on TV making claims about this or that and I know he willingly lies.<br/><br/>I trust Mueller. I will trust his conclusions. But telling me there is no Deep State--there was no Snowden, no Binney, no mass surveillance, no FBI raid--is not going to work."
59,Magazine,"âThe âfactsâ sent by The New York Times Magazine to check for this article, filled with laughable fictional stories and some entertaining conspiracy theories, are great examples of why so few people trust The New York Times anymore.â<br/><br/>Actually, Mr. Langer, Devin Nunes is a great example of why so few people have faith in Congress anymore.  An intellectually lazy, ethically suspect, highly partisan hack whose defining characteristic is a penchant for conspiracy theories   landed one of the ""most plum assignments"" on Capitol Hill.  And he got it when it was apparently common knowledge that he was an ""inattentive student"" on matters requiring his close attention.  <br/><br/>No wonder Donald Trump likes Nunes.  Both cut from the same cloth."
60,Magazine,"Part of the problem with Liberals and Dems it seems, we don't call people out and if we do its so politely diplomatic as in Patrician's ""Sean Conflicted Hannity"".  If the shoe was on the other foot there'd be rabid angry shouts of ""Sean CROOKED Hannity, lock him up, lock him up!""  This day and age, those who shout loudest (however absurd the accusation) sadly win.    "
61,Magazine,Nunes and Ryan probably both have seats of honor at the WH dinner tonight. 
62,Metro,"Several years ago, my Monthly Meeting faced a pressing problem arising from the deterioration of the Stony Brook Meetinghouse roof.  Adjacent to the Princeton Battlefield, the Meetinghouse had been a ""field hospital"" to both Continental and British soldiers in the aftermath of the Battle.  It clearly has a place in American history.<br/><br/>But I was singularly opposed to seeking state funds for the project precisely because of the separation of church and state.  I had to ""stand aside"" and have my objection minuted in the face of a sense of the meeting that it was proper to seek such funds.  Fortunately, the application was rejected, the Meeting was able to raise the necessary funds and the project was completed.<br/><br/>The irony is that the NJ Constitution contains that prohibition specifically due to the wording of the Concessions of the Proprietors of West Jersey (written either by John Locke or William Penn), which was the Quaker group that settled the area in the late 1600s.  It's not a slam on religion...it's an express constraint on the incursion of politics into religion.  After all, it's a slippery slope from supporting a congregation to hindering it by the withdrawal of aid."
63,Well,"Maggie, I'm glad you made it through without a kidney transplant. I wasn't so lucky after contracting e-coli. I wish you all the best in the future and hope your kidneys stay strong for years to come. "
64,Well,"Obama's signature 2011 Food Safety Modernization Act (FSMA) is designed to eliminate threats to fresh produce safety by getting farmers to eliminate potential sources of E.coli contamination on their farms (water, workers, manure/compost, animals, unclean tools or shipping crates, etc.). However beware, small farmers who sell their produce at farmer's markets are exempted. To their credit, the US fresh produce industry recognizes the threat of bacterial contamination and has not been lobbying Trump to loosen up or eliminate FSMA.  Surprisingly, most recent E.coli outbreaks have been association with domestic and not imported produce.  The threat is real and needs to be taken seriously."
65,Well,"Thank you, Maggie, for sharing your story of this random calamity, your bravery, and recovery. You write beautifully. Now that the prayers for your life are no longer needed, I offer one that the days ahead offer you joy and good health."
66,Business,"Having seen it for myself, here in the United States... I've learned under Trump:  Stupid-is, as Stupid-does.  Let them choke on all the winning and greatness, while I get paid!"
67,Business,"Fascinating...<br/><br/>I think this speaks to the power that emotions have over logic. The Grimsby folks know that fishing is a bygone trade, and the fear that creates motivates fight/flight, ergo fighting to save a moribund industry. <br/><br/>As an American, I see the parallels with coal (as the author eluded to) as well the plight of Midwestern manufacturing. The emotional and cultural attachment to work is something to which we give little credence. It would do us well to do more to support communities that are on the receiving end of creative destruction in these ways. "
68,Games,"As a fan of Peter Gordon's later-in-the-week puzzles, I was curious to see how he would handle a Tuesday.  I thought he pulled it off quite nicely.  As a rule, I welcome more names and popular culture references in the puzzles, although I may be in the minority on this.  (I have great respect for our foreign solvers who tackle the puzzles without many of these cultural reference points.)"
69,Games,"When I saw John Donne, I thought it might be, (ASK NOT) FOR WHOM THE BELL TOLLS, but when I saw that was too long, I immediately entered NO MAN IS AN ISLAND. I love references like that.<br/><br/>Of the three referenced names, I remembered CUBA but not the rest of his name until I had most of the crosses. I managed to retrieve the other two islands but didn't even recognize their names when I got them. Nor do I expect to remember them.<br/><br/>As for your column, if I'm hopelessly stuck, I will come to it before finishing the puzzle and prefer just to get a single word to help me. Sometimes there's a string of answers and all in caps to boot! I guess one can only say, ""Reader beware!"" All is forgiven though, Deb, because your column is so interesting,  always teaching me something new, and with a lovely sense of both the importance as well as the ephemeral nature of our delight in crosswords.<br/><br/> Theme or Tricky Clues first? Follow your mood of the moment."
70,Games,"Like RIA, I don't come to the puzzle until I have completed it (or, in my case, completely given up but I won't speak for RIA on that).  Either way (as Big Jule would say).<br/>I thought this was an excellent Tuesday offering.  Not so easy that it wasn't fun plus a clever theme.  Never thought of the word CRUDITY.  If I had to come up with a meaning, I would have guessed cut-up vegetables eaten by a primitive group.<br/>Thank you Peter (and) Gordon."
71,Games,"@deb -- I like theme first, then tricky clues, going from the big picture to the specifics, but I don't feel strongly about it.  But the fact that you're considering flipping gives me hope that maybe Cohen will be also.<br/><br/>So to the puzzle. Peter knows names, which so often people and crowd his puzzles -- this puzzle had, by my count, nine people names, not counting the theme answers, or IRIS, JAKE, or GRIZABELLA. I often flinch at names, especially pop culture names, in puzzles, as opposed to my wife, who thrives on them, wants them in. All the names today, though, were in my brain, some closer to the surface than others. And GRIZABELLA, by the way, really livens up the grid.<br/><br/>I liked the clues for PETE and TEA BAGS, and the theme is clever and original, a wow, even if caromed off a fellow constructor's clue. Peter has such a talent for themes and throwing puzzles together -- it seems to come easy to him, whereas for me, puzzle making is like hacking through the vines (and yet I love the process). This puzzle had a mini-theme of answers ending with A (10), and certainly gets an A for the enjoyment it gave me. Thanks, Peter!"
72,Games,"I did see your query to David 11 minutes ago about CustomerCare, Deadline.<br/><br/>Curiouser and curiouser..."
73,Games,"My comment ""crossed"" with CP's during the wait-time. So I see my suggestion that scrolling past one section to get to the other might limit spoilage has already been countered. Anyway, as I am a finish-firster, my comments are plainly from the bleachers on this one."
74,Games,"Huey Long Island -- great addition, LOL'd!"
75,Games,"Narrow-minded? I am a believer and life-long church-worker who believes FIRMLY that ""under God"" had and has NO place in the ""Pledge of Allegiance"" - anyone can believe what they want, but forcing one's beliefs on OTHER people is not the project and aim of the United States of America. The establishment that forced ""under God"" into the pledge in the 1950s couldn't keep their politics out of _our_ daily lives; why should we accept it and move on? America values freedom. Read that sentence a few more times. Keep re-reading until you understand it."
76,Games,"""In 1954, in response to the Communist threat of the times, President Eisenhower encouraged Congress to add the words ""under God,"" creating the 31-word pledge we say today.""<br/><br/><a href=""http://www.ushistory.org/documents/pledge.htm"" title=""http://www.ushistory.org/documents/pledge.htm"" target=""_blank"">http://www.ushistory.org/documents/pledge.htm</a>"
77,National,"NRA spokesperson: ""Second Amendment Rights! Second Amendment rights! If we let them take away guns from crazy people, where will it end. Next thing you know they'll be taking away guns from us so-called sane people."" "
78,National,"It seems that words like ""potentially,"" ""might be,"" ""could be"" are often used to describe actions or behaviors which to simple minded college-educated people like me are clear violations of law.  I conclude more and more that we are not a ""nation of laws"" but a ""nation of suggestions.""  If a law is violated or broken, penalties should ensue NOW.  But it seems more often than not, that the above qualifying words are used and the situation is quickly forgotten.  Disheartening to be sure."
79,Editorial,Bad headline.<br/>Judges need to stand up for the Constitution.<br/>Presidents are temporary.<br/>Constitution is permanent. ( I hope)
80,Editorial,"No, the court ""won't stand up to Donald<br/>Trump.""  It will decide a difficult case based on the law and the Constitution and independently of both Trump and the Times.  Shame on the Times for its insulting headline!"
81,Editorial,"The court should issue travel ban  Trump and Pruitt and ... Just take away their passports so they will not leave the US country and if they, escape, that they canot come back."
82,Editorial,"Fair - Almost exclusively targets Muslims, with the kind of racist zeal that fuels Trump's base<br/>Reasonable - permanently banning 160 million people without meaningful justification<br/>Legal - That's for the SC to decide<br/>Desirable - If you're a xenophobic nativist, perhaps"
83,Editorial,Yes he is our supreme leader and we owe him fealty and immense gratitude for dismantling US institutions which support the public. A weak public strengthens a fascist dictatorship which is so badly needed.<br/>I hope this laudatory missive gets me a job with the administration. 
84,OpEd,"For those with a wonkish gene, FiveThirtyEight has a great summary of the political and polling context for this race at <a href=""https://fivethirtyeight.com/features/everything-you-need-to-know-about-the-arizona-8th-special-election/"" title=""https://fivethirtyeight.com/features/everything-you-need-to-know-about-the-arizona-8th-special-election/"" target=""_blank"">https://fivethirtyeight.com/features/everything-you-need-to-know-about-t...</a>. <br/><br/>In simpler language, if Tipirneni even comes close to winning she has hobbled a Republican candidate on her home turf. As they described the electoral history of the district, ""President Trump carried it 58 to 37 percent in 2016; Mitt Romney won it 62 to 37 percent in 2012.â <br/><br/>Something is happening that looks to shift the landscape for the GOP. They are narrowly winning elections that ought to be a cakewalk and losing those that they would have normally won. Seems like their policies and their president have become less tasty than before. For the rest of us, they are toxic. "
85,OpEd,"""Thereâs something tragically, fundamentally American, too, about an angry young white man with a firearm killing a bunch of strangers who have done him no harm.""<br/>Uh yeah  can't argue with that, but it tragic no matter who is doing the shooting. There are plenty of stories out there of random shootings out there committed by non whites.  Ms. Renki is expressing an opinion she doesn't really hold.  Probably to get reactions and attention (which admittedly I am doing here).  There is nothing (as of yet) to indicate the shooting was racially motivated nor is there any info on the racial makeup of the Waffle House patrons."
86,OpEd,Also his outburst is completely consistent with the conservative view that teachers are basically babysitters.
87,OpEd,The Republican Party is beholden to to the donor class. The donor class doesn't care about public schools or teachers. They send their children to private schools. We have been defunding public schools since the days of Ronald Reagan. This is the Republican platform. Keep them poor. Keep them uneducated and control the women.
88,OpEd,"""State and local governments, however, are basically school districts with police departments. Education accounts for more than half the state and local work force; protective services like police and fire departments account for much of the rest.""<br/><br/>Mr Krugman leaves out ""Healthcare"" - which subsidies now accounts for more than 40% of Massachusetts' budget, as well as increasing percentages of other states' budgets, due to insurance subsidies (and the high cost of ""healthcare"" in the US). <br/><br/>In our small town - and every one nearby in both our and neighboring New England states - public school education has neared or taken over half the local budgets. Thus the cost of rising property taxes that encourage retirees to move elsewhere. <br/><br/>Finally - there is the cost of all these public pensions &amp; related benefits (i.e., health insurance premiums): a well documented economic bomb that will soon inevitably explode. Then what?"
89,OpEd,"The title of this article says it all...in their heart...Republicans, especially in right leaning states, really believe our young people don't need an education. All young people need is a job in the mills/mines and good old common sense. Fast forward to 2018, the mills and mines are gone and companies are paying top dollar for brains that have disciplined to avoid common sense solutions. An underlying theme of making America great again is turning the clock back to a time when high school was all about football, homecoming, prom, and cheerleaders, and, college, well, who needs it. This antiquated belief still dominates in red states whose voters still yearn for their glory days. "
